model,target,accuracy,precision,recall,f1_score
logistic_price_up_next_day,price_up_next_day,0.5068493150684932,0.4727272727272727,0.7878787878787878,0.5909090909090909
rf_price_up_next_day,price_up_next_day,0.4794520547945205,0.45614035087719296,0.7878787878787878,0.5777777777777777
mlp_price_up_next_day,price_up_next_day,0.4657534246575342,0.45454545454545453,0.9090909090909091,0.6060606060606061
lstm_price_up_next_day,price_up_next_day,0.49206349206349204,0.46296296296296297,0.8928571428571429,0.6097560975609756
logistic_price_up_3d,price_up_3d,0.410958904109589,0.38095238095238093,0.8571428571428571,0.5274725274725275
rf_price_up_3d,price_up_3d,0.4520547945205479,0.40625,0.9285714285714286,0.5652173913043478
mlp_price_up_3d,price_up_3d,0.3972602739726027,0.34615384615384615,0.6428571428571429,0.45
lstm_price_up_3d,price_up_3d,0.5714285714285714,0.4166666666666667,0.43478260869565216,0.425531914893617
logistic_price_up_7d,price_up_7d,0.410958904109589,0.3,0.9473684210526315,0.45569620253164556
rf_price_up_7d,price_up_7d,0.3424657534246575,0.2835820895522388,1.0,0.4418604651162791
mlp_price_up_7d,price_up_7d,0.589041095890411,0.37777777777777777,0.8947368421052632,0.53125
lstm_price_up_7d,price_up_7d,0.6507936507936508,0.45,1.0,0.6206896551724138
logistic_price_up_14d,price_up_14d,0.4246575342465753,0.16,1.0,0.27586206896551724
rf_price_up_14d,price_up_14d,0.5205479452054794,0.18604651162790697,1.0,0.3137254901960784
mlp_price_up_14d,price_up_14d,0.726027397260274,0.2692307692307692,0.875,0.4117647058823529
lstm_price_up_14d,price_up_14d,0.8571428571428571,0.0,0.0,0.0
logistic_price_up_30d,price_up_30d,0.1506849315068493,0.0,0.0,0.0
rf_price_up_30d,price_up_30d,0.684931506849315,0.0,0.0,0.0
mlp_price_up_30d,price_up_30d,0.8767123287671232,0.0,0.0,0.0
lstm_price_up_30d,price_up_30d,0.047619047619047616,0.0,0.0,0.0
