model,target,MSE,RMSE,MAE,R2
linear_price_change_next_day_pct,price_change_next_day_pct,24.21252456764153,4.9206223760456895,3.8383353175033283,-0.47835163259401225
rf_price_change_next_day_pct,price_change_next_day_pct,19.296923783319393,4.392826400316702,3.189526616125071,-0.17821826878960767
mlp_price_change_next_day_pct,price_change_next_day_pct,17.050243134402095,4.129194005420682,2.983459822327509,-0.0410419906214452
lstm_price_change_next_day_pct,price_change_next_day_pct,18.946662875158246,4.352776455913886,3.1370033809397704,-0.037409150659607926
linear_price_change_3d_pct,price_change_3d_pct,75.83693828683795,8.708440634627875,7.109802123121515,-1.5037881061437548
rf_price_change_3d_pct,price_change_3d_pct,52.6096396429796,7.253250281286287,5.727180928951981,-0.7369291664753672
mlp_price_change_3d_pct,price_change_3d_pct,34.71147862051654,5.8916448145247635,4.382340293490238,-0.14601392514017708
lstm_price_change_3d_pct,price_change_3d_pct,37.73810866118977,6.143135084074724,4.524428377033564,-0.18062522504432477
linear_price_change_7d_pct,price_change_7d_pct,178.69476368649964,13.367676076510069,11.542282621026233,-2.3543936449347735
rf_price_change_7d_pct,price_change_7d_pct,97.84288530169187,9.89155626287855,8.049750191401108,-0.8366713488811248
mlp_price_change_7d_pct,price_change_7d_pct,86.66246013022608,9.309267432522608,7.295800051403603,-0.6267964405786663
lstm_price_change_7d_pct,price_change_7d_pct,86.01685788517709,9.274527367212686,7.110689067348802,-0.4568605372677441
linear_price_change_14d_pct,price_change_14d_pct,455.53421845813824,21.343247608040773,19.44924191545749,-4.247081293137243
rf_price_change_14d_pct,price_change_14d_pct,204.99310328733554,14.317580217597369,12.230484045232707,-1.3612177392991471
mlp_price_change_14d_pct,price_change_14d_pct,173.7140484708414,13.180062536681735,10.542719399804897,-1.0009292324331733
lstm_price_change_14d_pct,price_change_14d_pct,137.4275899306844,11.722951417227847,9.266952610183193,-0.5613163849628362
linear_price_change_30d_pct,price_change_30d_pct,363.49267473895395,19.065483857981523,16.654500014804565,-1.4764636098052768
rf_price_change_30d_pct,price_change_30d_pct,514.3755231205369,22.679848392803176,18.907173545123833,-2.5044234817039386
mlp_price_change_30d_pct,price_change_30d_pct,243.22092337650008,15.595541778870656,12.985076036512721,-0.6570561327479514
lstm_price_change_30d_pct,price_change_30d_pct,494.0522726364252,22.227286668336852,18.98801546087612,-2.0639416724222923
