model,target,MSE,RMSE,MAE,R2
linear_price_change_next_day_pct,price_change_next_day_pct,11.366063019204498,3.3713592242898853,2.666615799819389,-0.5218232310278059
rf_price_change_next_day_pct,price_change_next_day_pct,7.6150456554996815,2.759537217632638,1.9755768006692473,-0.019592568182669634
mlp_price_change_next_day_pct,price_change_next_day_pct,7.570661829607407,2.7514835688419814,1.9407075279360957,-0.013649935521683032
lstm_price_change_next_day_pct,price_change_next_day_pct,8.199282275387587,2.863438889759582,2.0664079029785594,-0.01868872675658384
linear_price_change_3d_pct,price_change_3d_pct,28.556701741410794,5.34384709188154,4.05084682558854,-0.9607933577384178
rf_price_change_3d_pct,price_change_3d_pct,15.722482879999452,3.9651586197779594,2.8947850645878708,-0.07955534492114236
mlp_price_change_3d_pct,price_change_3d_pct,15.261693390032137,3.9066217362360716,2.850476616557221,-0.04791608281639537
lstm_price_change_3d_pct,price_change_3d_pct,17.023281859081315,4.125927999745186,2.9701726808229547,-0.06297998522689463
linear_price_change_7d_pct,price_change_7d_pct,64.403738744372,8.02519400041968,6.685931941156951,-2.021372535524797
rf_price_change_7d_pct,price_change_7d_pct,25.97322866438199,5.096393692051468,3.6347684790121746,-0.2184820520583015
mlp_price_change_7d_pct,price_change_7d_pct,26.088443454677222,5.107684745036368,3.615066256743917,-0.2238871234077453
lstm_price_change_7d_pct,price_change_7d_pct,28.992687114322763,5.38448577993505,3.866917521053179,-0.21172342979530412
linear_price_change_14d_pct,price_change_14d_pct,179.06233502262873,13.381417526653472,11.642475313931657,-5.637001941671987
rf_price_change_14d_pct,price_change_14d_pct,74.22256079419704,8.615251638472149,7.191234114170933,-1.7510826330098919
mlp_price_change_14d_pct,price_change_14d_pct,44.66020243961525,6.682828924910113,5.095464354755507,-0.655344493691161
lstm_price_change_14d_pct,price_change_14d_pct,43.43534721907903,6.590549841938761,4.847594446491075,-0.4691798304420318
linear_price_change_30d_pct,price_change_30d_pct,409.3615862296834,20.232686085383804,15.621441468830554,-8.980267011025978
rf_price_change_30d_pct,price_change_30d_pct,101.5644591213785,10.077919384544535,7.796549920469041,-1.4761493382846629
mlp_price_change_30d_pct,price_change_30d_pct,98.0439627997914,9.901715144347033,7.699205046901742,-1.3903193667321774
lstm_price_change_30d_pct,price_change_30d_pct,83.74669442430161,9.15132200418615,6.475217171730221,-0.9971151176512485
